formula,prediction,density,Peak Score,index
P3N5,200.421,0.269,2.093,6305
LiB,118.463,0.203,1.512,4293
ZrH3,136.820,0.261,1.465,10471
Sr6Sn2NO,118.200,0.172,1.404,8034
Sr3MnN3,105.408,0.209,1.337,8007
CrPO4,168.048,0.271,1.272,1787
Mn3O4,145.852,0.274,1.252,5230
Ca2MnO4,103.791,0.258,1.231,1030
ErB2Rh2C,195.810,0.288,1.136,2384
Na2Hf2O5,89.112,0.262,0.810,5475
P2Pb2O7,128.230,0.267,0.792,6298
DyIr3,151.946,0.284,0.784,2263
NdBPd3,164.868,0.291,0.764,6045
MnAlRh2,181.872,0.292,0.705,5266
Er2ZnRu,109.614,0.197,0.664,2366
Mg(BeN)2,131.782,0.279,0.627,4839
Al(SnO2)2,126.388,0.270,0.596,139
K2SnCl6,53.718,0.255,0.584,3510
Li3Au,56.579,0.151,0.577,4140
TbGaRh2,144.545,0.287,0.567,8438
Sc2CoRu,165.547,0.286,0.530,7168
BeGaRh2,174.996,0.291,0.528,852
Sm2Zr2O7,105.040,0.267,0.518,7608
Cu3P,150.118,0.292,0.468,2071
Sm2AgSn,75.145,0.201,0.410,7571
CaPd3O4,132.461,0.277,0.396,1270
MgSiN2,128.148,0.275,0.394,5115
RbSbO3,55.562,0.258,0.370,6979
Li7Sn2,49.286,0.152,0.330,4239
CrGaP2,130.590,0.282,0.323,1766
SrLi4N2,64.458,0.157,0.315,8126
Fe2W,166.909,0.290,0.297,2569
Ca3Au,71.440,0.141,0.231,1065
U2CrN3,121.549,0.292,0.219,9287
Ho2CF2,56.910,0.248,0.218,3185
CeIr2,150.326,0.285,0.192,1545
Li4UO5,69.932,0.217,0.189,4204
Cs2CrCl4,48.154,0.252,0.188,1826
Yb2AgSn,58.505,0.194,0.164,9954
Pr2ZnHg,55.272,0.203,0.146,6558
BaTiS3,68.359,0.263,0.146,751
Pr(CoSi)2,119.226,0.286,0.121,6525
LiAlPt2,103.736,0.280,0.112,4281
CaCu2O3,102.374,0.275,0.068,1177
LiLuPt2,76.144,0.196,0.056,4478
ScNbOs2,140.033,0.285,0.045,7384
YNiSb,85.258,0.276,0.029,9851
Yb2SbAu,53.113,0.188,0.025,9975
AsPdSe,84.680,0.280,0.008,352
CaSmZn2,43.022,0.199,0.006,1307
Nd2CdIn,49.013,0.203,-0.006,6000
LiTmIn2,40.474,0.200,-0.011,4641
Cr2FeS4,106.959,0.278,-0.023,1698
ZnCo3C,135.549,0.292,-0.062,10231
Nd(CoSi)2,112.036,0.286,-0.064,5981
Fe3Sn2,131.277,0.292,-0.064,2587
TbNi2,104.590,0.283,-0.079,8458
HoTmMg2,45.313,0.200,-0.094,3325
YMg2,62.675,0.281,-0.100,9816
Ga2CoS4,95.372,0.273,-0.105,2674
DyCuSeO,88.410,0.274,-0.113,2242
TiBiRh,178.190,0.289,-0.119,8848
Cs2PbCl6,25.774,0.256,-0.135,1870
LiTmHg2,33.204,0.199,-0.151,4640
NdTmTl2,36.367,0.204,-0.154,6155
Ho2Cr2C3,99.339,0.281,-0.164,3189
Hf4N3,153.215,0.288,-0.254,2946
CeNiC2,120.186,0.286,-0.370,1560
BaTe2,36.238,0.255,-0.381,744
Ca3BiSb,49.694,0.175,-0.401,1069
TbCd3,51.666,0.286,-0.437,8415
Cs2RbInF6,13.395,0.252,-0.452,1888
ThSiO4,108.012,0.271,-0.493,8639
V2C,141.209,0.286,-0.498,9401
CuAs,77.074,0.281,-0.594,2091
Ho(SiRu)2,123.002,0.285,-0.620,3178
LiZnAu2,56.818,0.280,-0.637,4682
HfPbO3,104.099,0.273,-0.670,3060
SmMn2O5,104.527,0.273,-0.697,7724
Ni2Ge,107.861,0.292,-0.717,6171
LiErGe,40.474,0.164,-0.718,4381
LaCu2,82.082,0.285,-0.770,3852
Ti2GaC,133.201,0.288,-0.777,8693
TmHfRu2,132.482,0.283,-0.787,9217
Rb3Mg,5.649,0.146,-0.792,6861
MnSbPd2,119.798,0.292,-0.910,5373
HoCd3,31.563,0.286,-0.954,3230
SF6,20.537,0.233,-0.956,7074
ErCdCu4,60.855,0.292,-0.989,2394
MgS,48.608,0.275,-1.002,5093
Sc3AlC,109.348,0.287,-1.014,7232
Sr(ZnGe)2,49.682,0.283,-1.091,7904
Rb2Cr(BrCl)2,-0.749,0.253,-1.105,6763
TaNiGe,124.341,0.290,-1.151,8321
ZrGeTe,74.328,0.285,-1.242,10467
In2Se3,47.975,0.269,-1.543,3346
Ba(CdAs)2,36.192,0.282,-1.589,422
Sc,65.196,0.278,-1.801,7129
CdCl2,22.257,0.263,-1.890,1387
Sc2CdAg,61.966,0.287,-1.893,7161
